,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
598,0.55,0.0339,5,-27.483,0,0.0405,0.996,0.933,0.0873,0.386,91.385,audio_features,6jAQdK7lbclgMKQ97GmR6i,spotify:track:6jAQdK7lbclgMKQ97GmR6i,https://api.spotify.com/v1/tracks/6jAQdK7lbclgMKQ97GmR6i,https://api.spotify.com/v1/audio-analysis/6jAQdK7lbclgMKQ97GmR6i,112493,4
599,0.399,0.148,3,-21.545,0,0.0394,0.993,0.911,0.127,0.134,147.218,audio_features,6i137tDx0uQ9mmXmnOwoSY,spotify:track:6i137tDx0uQ9mmXmnOwoSY,https://api.spotify.com/v1/tracks/6i137tDx0uQ9mmXmnOwoSY,https://api.spotify.com/v1/audio-analysis/6i137tDx0uQ9mmXmnOwoSY,303118,4
600,0.345,0.0176,2,-28.001,0,0.0378,0.992,0.000446,0.0635,0.188,96.958,audio_features,4czjSVTWBP3JiEYBA9Guad,spotify:track:4czjSVTWBP3JiEYBA9Guad,https://api.spotify.com/v1/tracks/4czjSVTWBP3JiEYBA9Guad,https://api.spotify.com/v1/audio-analysis/4czjSVTWBP3JiEYBA9Guad,321587,4
601,0.492,0.0666,10,-23.439,1,0.0419,0.978,0.126,0.12,0.371,108.187,audio_features,3SZmkkGhgOd88Q2FDhf8sv,spotify:track:3SZmkkGhgOd88Q2FDhf8sv,https://api.spotify.com/v1/tracks/3SZmkkGhgOd88Q2FDhf8sv,https://api.spotify.com/v1/audio-analysis/3SZmkkGhgOd88Q2FDhf8sv,352600,4
602,0.38,0.156,10,-19.358,1,0.0477,0.99,0.0688,0.111,0.541,164.618,audio_features,5Av7oLA9nU8LfbHKVUzNsA,spotify:track:5Av7oLA9nU8LfbHKVUzNsA,https://api.spotify.com/v1/tracks/5Av7oLA9nU8LfbHKVUzNsA,https://api.spotify.com/v1/audio-analysis/5Av7oLA9nU8LfbHKVUzNsA,163240,4
603,0.315,0.151,9,-18.509,1,0.0377,0.909,0.828,0.0644,0.16,133.567,audio_features,7vbBVZV3jjdqhUEcfPtpJK,spotify:track:7vbBVZV3jjdqhUEcfPtpJK,https://api.spotify.com/v1/tracks/7vbBVZV3jjdqhUEcfPtpJK,https://api.spotify.com/v1/audio-analysis/7vbBVZV3jjdqhUEcfPtpJK,346733,4
604,0.384,0.0108,8,-30.028,1,0.0474,0.994,0.908,0.103,0.168,164.242,audio_features,6WE2vVhrk7MmWSEF28QgwR,spotify:track:6WE2vVhrk7MmWSEF28QgwR,https://api.spotify.com/v1/tracks/6WE2vVhrk7MmWSEF28QgwR,https://api.spotify.com/v1/audio-analysis/6WE2vVhrk7MmWSEF28QgwR,673000,4
605,0.115,0.0297,11,-29.564,0,0.0364,0.99,0.884,0.114,0.0398,79.658,audio_features,2gmuvqhU3bnoTnkaTq0eqY,spotify:track:2gmuvqhU3bnoTnkaTq0eqY,https://api.spotify.com/v1/tracks/2gmuvqhU3bnoTnkaTq0eqY,https://api.spotify.com/v1/audio-analysis/2gmuvqhU3bnoTnkaTq0eqY,284920,4
606,0.287,0.0413,3,-23.115,1,0.0392,0.989,0.825,0.0755,0.19,112.081,audio_features,5Q6P1DQGtytOnMUCyvlBS2,spotify:track:5Q6P1DQGtytOnMUCyvlBS2,https://api.spotify.com/v1/tracks/5Q6P1DQGtytOnMUCyvlBS2,https://api.spotify.com/v1/audio-analysis/5Q6P1DQGtytOnMUCyvlBS2,510533,4
607,0.183,0.0225,7,-27.452,1,0.0448,0.987,0.823,0.109,0.0491,110.855,audio_features,66FSkKmgnMet1SQWsd3T6h,spotify:track:66FSkKmgnMet1SQWsd3T6h,https://api.spotify.com/v1/tracks/66FSkKmgnMet1SQWsd3T6h,https://api.spotify.com/v1/audio-analysis/66FSkKmgnMet1SQWsd3T6h,436493,3
